frame,time,stage1_vel,stage1_alt,stage2_vel,stage2_alt
1552,0:00:51.733333,119.35968,2300.3256,119.35968,2300.3256
1556,0:00:51.866667,120.25376,2324.7096,120.25376,2324.7096
1560,0:00:52,123.83008,2347.5696000000003,123.83008,2347.5696000000003
1564,0:00:52.133333,123.83008,2347.5696000000003,123.83008,2347.5696000000003
1568,0:00:52.266667,122.04192,2372.2584,122.04192,2372.2584
1572,0:00:52.400000,122.93599999999999,2397.252,122.93599999999999,2397.252
1576,0:00:52.533333,123.38304,2422.5504,123.38304,2422.5504
1580,0:00:52.666667,124.27712,2449.6776,124.27712,2449.6776
1584,0:00:52.800000,124.27712,2449.6776,124.27712,2449.6776
1588,0:00:52.933333,125.1712,2674.6200000000003,125.1712,2674.6200000000003
1592,0:00:53.066667,126.06528,,126.06528,
1596,0:00:53.200000,126.06528,,126.06528,
1600,0:00:53.333333,126.95936,2525.268,126.95936,2525.268
1604,0:00:53.466667,127.85343999999999,2525.268,127.85343999999999,2525.268
1608,0:00:53.600000,127.85343999999999,2525.268,127.85343999999999,2525.268
1612,0:00:53.733333,128.74752,2551.176,128.74752,2551.176
1616,0:00:53.866667,125.1712,2577.3888,125.1712,2577.3888
1620,0:00:54,125.1712,2577.3888,125.1712,2577.3888
1624,0:00:54.133333,130.08864,2603.9064000000003,130.08864,2603.9064000000003
1628,0:00:54.266667,126.51232,2630.424,126.51232,2630.424
1632,0:00:54.400000,126.51232,2630.424,,0.0
1636,0:00:54.533333,127.4064,2657.2464,447040.0,0.0
1640,0:00:54.666667,132.77088,2684.3736000000004,132.77088,2684.3736000000004
1644,0:00:54.800000,132.77088,2684.3736000000004,132.77088,2684.3736000000004
1648,0:00:54.933333,129.19456,2711.5008000000003,129.19456,2711.5008000000003
1652,0:00:55.066667,137.24128,2556.0528,137.24128,2556.0528
1656,0:00:55.200000,137.24128,2738.9328,137.24128,2738.9328
1660,0:00:55.333333,135.45311999999998,2766.3648000000003,135.45311999999998,2766.3648000000003
1664,0:00:55.466667,136.3472,2794.1016,136.3472,2794.1016
1668,0:00:55.600000,136.3472,2794.1016,136.3472,2794.1016
1672,0:00:55.733333,137.24128,2794.1016,137.24128,2794.1016
1676,0:00:55.866667,135.45311999999998,2822.1432,135.45311999999998,2822.1432
1680,0:00:56,135.45311999999998,2822.1432,135.45311999999998,2822.1432
1684,0:00:56.133333,141.71168,2850.1848,,0.0
1688,0:00:56.266667,139.92352,2878.5312000000004,,0.0
1692,0:00:56.400000,139.92352,2878.5312000000004,139.92352,2878.5312000000004
1696,0:00:56.533333,140.8176,2907.1824,140.8176,2907.1824
1700,0:00:56.666667,141.71168,2935.8336,141.71168,2935.8336
1704,0:00:56.800000,141.71168,2935.8336,141.71168,2935.8336
1708,0:00:56.933333,142.60576,2964.4848,142.60576,2964.4848
1712,0:00:57.066667,146.18207999999998,2993.7456,146.18207999999998,2993.7456
1716,0:00:57.200000,146.18207999999998,2993.7456,146.18207999999998,2993.7456
1720,0:00:57.333333,144.39392,3023.0064,144.39392,3023.0064
1724,0:00:57.466667,145.288,3052.572,145.288,3052.572
1728,0:00:57.600000,145.288,3052.572,145.288,3052.572
1732,0:00:57.733333,146.18207999999998,3082.1376,146.18207999999998,3082.1376
1736,0:00:57.866667,147.07616,3082.1376,147.07616,3082.1376
1740,0:00:58,147.07616,3082.1376,147.07616,3082.1376
1744,0:00:58.133333,147.97024,3112.0080000000003,147.97024,3112.0080000000003
1748,0:00:58.266667,148.86432,3111.3984,148.86432,3111.3984
1752,0:00:58.400000,148.86432,3141.8784,148.86432,3141.8784
